자치구,시간_구분,빈대여소의비율,std
강남구,비활성,0.2327072152653548,0.005929204903354
강동구,비활성,0.11078965282505104,0.006921272773200395
강북구,비활성,0.12008547008547009,0.0064570938451311115
강서구,비활성,0.13478407557354924,0.014625651998580912
관악구,비활성,0.12416578854935019,0.00788312672814344
광진구,비활성,0.16682113067655235,0.014547853101277911
구로구,비활성,0.10408232118758433,0.014443335205830249
금천구,비활성,0.10015246015246015,0.002403407931436858
노원구,비활성,0.14326277749096542,0.012820570567839274
도봉구,비활성,0.09283418803418804,0.00847894567935441
동대문구,비활성,0.07168542839274546,0.004949831442812275
동작구,비활성,0.08997150997150997,0.005740776088061812
마포구,비활성,0.24481837606837606,0.011036847068172331
서대문구,비활성,0.20528648306426087,0.0064035113939805155
서초구,비활성,0.15000902853015527,0.005013151836341601
성동구,비활성,0.23670212765957446,0.00606200179624758
성북구,비활성,0.11609686609686609,0.002764658428871729
송파구,비활성,0.14063983855650522,0.00922523929608447
양천구,비활성,0.07580569277816986,0.009784844116386502
영등포구,비활성,0.2148469809760132,0.003930999377705737
용산구,비활성,0.2665830546265329,0.011015443362316002
은평구,비활성,0.13746438746438747,0.00801259486547826
종로구,비활성,0.4462669683257919,0.020030753662168527
중구,비활성,0.5545952175165658,0.02956964877724231
중랑구,비활성,0.0721494817239498,0.0022952191999959255
