자치구,시간_구분,빈대여소시간
강남구,중간,11151
강동구,중간,3005
강북구,중간,2015
강서구,중간,5243
관악구,중간,3136
광진구,중간,4528
구로구,중간,2271
금천구,중간,2004
노원구,중간,5983
도봉구,중간,2060
동대문구,중간,1946
동작구,중간,2706
마포구,중간,6690
서대문구,중간,5948
서초구,중간,5834
성동구,중간,5011
성북구,중간,3751
송파구,중간,9757
양천구,중간,1882
영등포구,중간,6418
용산구,중간,6939
은평구,중간,4867
종로구,중간,9973
중구,중간,9724
중랑구,중간,2436
