자치구,시간_구분,빈대여소의비율,std
강남구,중간,0.20779293381037567,0.02896671078424514
강동구,중간,0.08523371908327661,0.009674475293353748
강북구,중간,0.1076388888888889,0.010623030580496481
강서구,중간,0.088444669365722,0.02097844050728667
관악구,중간,0.13768879522304178,0.014052072185386368
광진구,중간,0.1748532591906086,0.04140526104597268
구로구,중간,0.06399010346378768,0.01280301297860429
금천구,중간,0.08918110418110418,0.014941818309047783
노원구,중간,0.1286998795388057,0.013364684851514935
도봉구,중간,0.08978646723646723,0.015305002077397994
동대문구,중간,0.07606316447779862,0.009781307492480427
동작구,중간,0.12073717948717948,0.025991384674828266
마포구,중간,0.17868589743589744,0.028484360272064736
서대문구,중간,0.23535929091484645,0.029594088013967818
서초구,중간,0.1316811123149151,0.015396971185931923
성동구,중간,0.1708606110201855,0.03971738524106609
성북구,중간,0.14842513453624565,0.02515801190514613
송파구,중간,0.1447797958214625,0.013567321997780865
양천구,중간,0.05560691601976006,0.012104089087171638
영등포구,중간,0.1327129859387924,0.04396254798318004
용산구,중간,0.24174331103678928,0.023651155659375166
은평구,중간,0.15756928256928257,0.015875846341060665
종로구,중간,0.31337983911513323,0.08505100212116118
중구,중간,0.350187265917603,0.11545872595336427
중랑구,중간,0.08306055646481178,0.011130499597983179
