자치구,시간_구분,빈대여소의비율,std
강남구,활성,0.21656976744186043,0.0377309098245804
강동구,활성,0.08117767188563649,0.006034209705739266
강북구,활성,0.11517094017094016,0.016822089252790228
강서구,활성,0.0633940620782726,0.013237329001514666
관악구,활성,0.12811731647348085,0.0071578142884487096
광진구,활성,0.13948100092678406,0.012472048197054698
구로구,활성,0.05409356725146199,0.012660890437122284
금천구,활성,0.060675098175098176,0.009024743553814062
노원구,활성,0.11499741868869386,0.024293828657620004
도봉구,활성,0.07352962962962963,0.014655034951559036
동대문구,활성,0.06980925578486553,0.0087368861515779
동작구,활성,0.114494301994302,0.022970499565604208
마포구,활성,0.153258547008547,0.027617283719984648
서대문구,활성,0.2257043368154479,0.021991863449465344
서초구,활성,0.1264445648248465,0.01925586742618379
성동구,활성,0.13509274413529732,0.032631200114515375
성북구,활성,0.1380974992086103,0.01916686336123444
송파구,활성,0.13203347578347577,0.010729809356017785
양천구,활성,0.04539245667686035,0.012741883380049458
영등포구,활성,0.11906534325889166,0.044706739997342676
용산구,활성,0.23432274247491638,0.03033141280864852
은평구,활성,0.16517741517741516,0.01682599921856697
종로구,활성,0.28908999497234794,0.06084466549163354
중구,활성,0.3269230769230769,0.08156749585543575
중랑구,활성,0.0765139116202946,0.009637558442184805
