자치구,시간_구분,빈대여소시간
강남구,비활성,6244
강동구,비활성,1953
강북구,비활성,1124
강서구,비활성,3995
관악구,비활성,1414
광진구,비활성,2160
구로구,비활성,1851
금천구,비활성,1119
노원구,비활성,3330
도봉구,비활성,1064
동대문구,비활성,917
동작구,비활성,1004
마포구,비활성,4583
서대문구,비활성,2594
서초구,비활성,3323
성동구,비활성,3471
성북구,비활성,1467
송파구,비활성,4739
양천구,비활성,1289
영등포구,비활성,5195
용산구,비활성,3826
은평구,비활성,2123
종로구,비활성,7101
중구,비활성,7700
중랑구,비활성,1058
